v_para,v_perp_0,v_perp_1,f(v),counts
-135.71284294653464,38.3223072354546,-7.5379082609771055,0.0,0.0
-121.28906450349776,71.9782108149411,-7.1761010869254305,0.0,0.0
-98.4516631717521,101.04805809626976,-6.321237822950056,0.0,0.0
-65.78846774981399,-107.62654047431764,-2.184515560168197,0.0,0.0
-89.95049106174008,-88.3843777975615,-3.67116512121501,0.0,0.0
-110.12393815488296,-61.348856030187534,-5.040142313573962,0.0,0.0
-122.04286087822231,-31.39689343852597,-6.011740458974928,0.0,0.0
-125.9758093942249,1.6934844305855627,-6.602576887537313,0.0,0.0
-121.23928536956817,34.23528899695434,-6.734002821994772,0.0,0.0
-108.35377859188245,64.30184446971552,-6.410781539258074,0.0,0.0
-87.9519486132456,90.27143758621594,-5.647088021829424,0.0,0.0
-58.66548562101528,-95.97371729922965,-1.9479956389805575,0.0,0.0
-80.2114639154199,-78.81491816948581,-3.273684392399237,0.0,0.0
-98.20070955639599,-54.70655766316956,-4.4944406883624515,0.0,0.0
-108.82916110748208,-27.997521799934347,-5.36084237240462,0.0,0.0
-112.33629251971011,1.5101291858720434,-5.887710066579728,0.0,0.0
-108.11258911952908,30.528605122586484,-6.0049049152623715,0.0,0.0
-96.62220706920351,57.33982281745724,-5.716678636125363,0.0,0.0
-78.42930929499082,80.49766227766469,-5.035672285409815,0.0,0.0
-52.072975162283036,-85.18870125559557,-1.7290908671995118,0.0,0.0
-71.19773346936694,-69.95811955425562,-2.905806174945495,0.0,0.0
-87.16544880920107,-48.55892903340498,-3.9893811621378585,0.0,0.0
-96.59952914279177,-24.851310066035232,-4.758421695230861,0.0,0.0
-99.7125422004134,1.3404285705477286,-5.2260812552278475,0.0,0.0
-95.96348476298577,27.0979628786087,-5.330108118365545,0.0,0.0
-85.7643292388145,50.89627747084911,-5.0742708500644,0.0,0.0
-69.61584245162481,71.45176469561902,-4.469790498461682,0.0,0.0
-46.238382194546915,-75.64361591311483,-1.535352297877869,0.0,0.0
-63.22027845988295,-62.11956323159545,-2.580220468167648,0.0,0.0
-77.39886529210445,-43.11807284134292,-3.542383856430357,0.0,0.0
-85.77589669758953,-22.066810020554197,-4.225257105140384,0.0,0.0
-88.54010573134885,1.1902387287530145,-4.640516867262355,0.0,0.0
-85.21111441595171,24.061733544787884,-4.732887869147325,0.0,0.0
-76.15473953805238,45.193535875428374,-4.505716453532108,0.0,0.0
-61.815633377797475,63.44584968831631,-3.9689658678839055,29.272837,1.0
-41.482763174124045,-67.86366627592375,-1.3774411369057722,0.0,0.0
-56.71807039818271,-55.730562294095286,-2.314844561626855,0.0,0.0
-69.43838797488525,-38.68337815282352,-3.1780494825582966,0.0,0.0
-76.95383896643295,-19.797236946096568,-3.790688537720613,0.0,0.0
-79.4337509168858,1.0678228775461027,-4.163238959079607,0.0,0.0
-76.44714982407018,21.586982169365154,-4.246109765428857,0.0,0.0
-68.3222219023525,40.54537725791193,-4.0423033338913825,0.0,0.0
-55.45789543198422,56.92044272911854,-3.5607578985524375,0.0,0.0
-36.82114891609049,-60.23750947057164,-1.2226513486085315,0.0,0.0
-50.3443975095385,-49.4678608673314,-2.054715060751301,0.0,0.0
-61.63527312013994,-34.33634582711527,-2.8209174294579387,0.0,0.0
-68.3061805010512,-17.572529575627478,-3.3647117910098188,0.0,0.0
-70.50741242732987,0.9478269332219117,-3.695397151681904,0.0,0.0
-67.85642147326732,19.1611536177273,-3.7689541304885528,0.0,0.0
-60.64453225174888,35.98910540747055,-3.5880505434627152,0.0,0.0
-49.22583158587605,50.52402904813488,-3.160618911475028,0.0,0.0
-33.09179720880904,-54.136473916067885,-1.0988180907605727,0.0,0.0
-45.24536913343743,-44.45760756886159,-1.8466075208817243,0.0,0.0
-55.392672523150736,-30.85866093722477,-2.5352070606535304,0.0,0.0
-61.38792880923464,-15.792731898263948,-3.0239237052853416,0.0,0.0
-63.36621199874926,0.8518283381987761,-3.321116209472688,0.0,0.0
-60.98372509044294,17.22045552401524,-3.3872236615352045,0.0,0.0
-54.502276091149895,32.34401969767426,-3.2246421074556437,0.0,0.0
-44.24009531649763,45.40680376506172,-2.8405023957390996,0.0,0.0
-1157.2310061655935,-1907.0245304172536,232.85267715140264,0.0,0.0
-1583.3346810670146,-1563.1933027902662,282.17761865529775,0.0,0.0
-1939.3021306584133,-1081.2101773612767,316.6042399997567,0.0,0.0
-2149.874714043258,-548.0698652506262,328.3351923419409,0.0,0.0
-2219.788690197015,40.193031229298356,317.9136782469528,0.0,0.0
-2136.9318170850574,618.0136995854996,285.879941247822,0.0,0.0
-1910.439999954091,1151.2006220979738,234.73824996774417,0.0,0.0
-1551.4309456466017,1610.990296132925,167.0892643988806,0.0,0.0
-1031.3332774425025,-1699.5550139001007,207.52010919640125,0.0,0.0
-1411.0802180400437,-1393.1300227319923,251.47887170458208,0.0,0.0
-1728.3211134431886,-963.5828327868674,282.16011432532645,0.0,0.0
-1915.9850626725383,-488.4441187115155,292.6148652186359,0.0,0.0
-1978.2928773931426,35.82034032162411,283.3271296128401,0.0,0.0
-1904.450267763019,550.7785576953316,254.77836877234031,0.0,0.0
-1702.5989676262898,1025.9588732337077,209.20053003654223,0.0,0.0
-1382.6473008808193,1435.7270154336918,148.91123370257634,0.0,0.0
-919.1479870436729,-1514.6825858209475,184.94667921849793,0.0,0.0
-1257.5872491913838,-1241.5895531647925,224.123741347873,0.0,0.0
-1540.3195733896387,-858.767274318603,251.46759014163771,0.0,0.0
-1707.57004712787,-435.3126555843743,260.78506904922455,0.0,0.0
-1763.1002703037693,31.923915807937245,252.50762716436012,0.0,0.0
-1697.2899229832615,490.86654344209353,227.06435120221624,0.0,0.0
-1517.3954662822966,914.3581881798339,186.44430495572232,0.0,0.0
-1232.24707319335,1279.5530420760003,132.71313817268106,0.0,0.0
-819.1434398609081,-1349.8830454026333,164.8242589609121,0.0,0.0
-1120.7600426305917,-1106.5029287131415,199.7387741841669,0.0,0.0
-1372.7308122790341,-765.3322227135758,224.10758482821248,0.0,0.0
-1521.7841458459043,-387.9500529987994,232.41133825473264,0.0,0.0
-1571.2725981918575,28.45053438247556,225.03447785584012,0.0,0.0
-1512.622543239847,437.45961988096053,202.3594556203208,0.0,0.0
-1352.3008155974271,814.874797494018,166.1589502522173,0.0,0.0
-1098.177001326388,1140.3358892632791,118.27375330370091,0.0,0.0
-730.0323546375689,-1203.0351552051302,146.8937482457073,0.0,0.0
-998.8373663913876,-986.1313112180742,178.01009261906464,0.0,0.0
-1223.39741363151,-682.0750770604134,199.7279230836415,0.0,0.0
-1356.2359250359355,-345.74666144268895,207.12830704948794,0.0,0.0
-1400.3406339905237,25.355545291579002,200.55398707715491,0.0,0.0
-1348.0709724071921,389.87028435266757,180.3456666647197,0.0,0.0
-1205.1899419328079,726.2281423229662,148.08324137375524,0.0,0.0
-978.7110597642497,1016.2836930291278,105.40729571811634,0.0,0.0
-650.6423231783633,-1072.206698822422,130.91924431550007,0.0,0.0
-890.2152302429081,-878.8908338711465,158.6517060869625,0.0,0.0
-1090.3545379668321,-607.9003180659892,178.0077523291856,0.0,0.0
-1208.7470426785771,-308.1471730014042,184.6033751210764,0.0,0.0
-1248.0554642019538,22.59815333128317,178.74401303796668,0.0,0.0
-1201.4700359927265,347.472399143958,160.7333033342003,0.0,0.0
-1074.1271038062896,647.2518065437329,131.97937122304012,0.0,0.0
-872.2775809178754,905.7642305096194,93.94437556633936,0.0,0.0
-579.8605296743538,-955.5639980076703,116.67685867901243,0.0,0.0
-793.3708145678802,-783.2784448940898,141.39238662616174,0.0,0.0
-971.7375214791764,-541.7683166169596,158.64274562566325,0.0,0.0
-1077.2504269403248,-274.624598979185,164.52083144496663,0.0,0.0
-1112.2825683891028,20.139755590783555,159.29886310176963,0.0,0.0
-1070.7650232797919,309.6717287180497,143.24750428629105,0.0,0.0
-957.2754025345807,576.8388484940778,117.62166082336908,0.0,0.0
-777.3845799525172,807.2283488099027,83.72440202852009,0.0,0.0
-516.7792294767278,-851.61097442185,103.983930738306,0.0,0.0
-707.062401343368,-698.0678767701547,126.01072790990683,0.0,0.0
-866.0250605901774,-482.83093287861305,141.38446994926443,0.0,0.0
-960.059539510652,-244.74899535775813,146.62309150957537,0.0,0.0
-991.2806458478831,17.948809274840915,141.9692121049994,0.0,0.0
-954.2796531080439,275.98347550222957,127.66404374675517,0.0,0.0
-853.1363059750704,514.0862643114332,104.82594010468345,0.0,0.0
-692.815232758694,719.4123404306486,74.61626837928718,0.0,0.0
-460.57270553107355,-758.9871423670819,92.67431587411629,0.0,0.0
-630.1601016929344,-622.143881922757,112.30540004435989,0.0,0.0
-771.8335213756966,-430.31674377672863,126.00704455586973,0.0,0.0
-855.6404551354103,-218.1293308132946,130.6759092741547,0.0,0.0
-883.4658664977394,15.996645122387227,126.52821727833314,0.0,0.0
-850.4892712826879,245.96663518202627,113.77889625622822,0.0,0.0
-760.3465559494109,458.17261114834275,93.42474919150168,0.0,0.0
-617.4625061706831,641.1668576839284,66.5007644830156,0.0,0.0
-410.4588979105208,-676.4035271678288,82.59063923563066,0.0,0.0
-561.5938787815974,-554.4498816919786,100.08572114324424,0.0,0.0
